"","...1","Show","Season","Episode","Character","Line","Gender","Gender_label","Rownumber","Year","N_words","Year_groups"
"1",126454,"Seinfeld","4","13","KRAMER","CALVIN KLEIN? No, no. That's my idea. They, they stole my idea. Y' see I had the idea of a cologne that makes you smell like you just came from the beach.",0,"male",12645,1992,31,"1989-1993"
"2",171619,"Frasier","1","9","Frasier","Well... Did I tell you, I got a call from the owners of the Hunan Palace the other day, they said that since I started doing these commercials their business had gone up by 30 percent.",0,"male",1716,1993,35,"1989-1993"
"3",127705,"Seinfeld","4","13","ELAINE","Well, I-I-I must a missed a button. I forgot to button it.",1,"female",12770,1992,11,"1989-1993"
"4",105784,"Seinfeld","4","5","HELEN","Well you're lucky he was able to get you this appointment. You know what the waiting list is for this guy?",1,"female",10578,1992,20,"1989-1993"
"5",85418,"Seinfeld","1","4","GEORGE","No! My ticket?! You gave my ticket to Horneck?",0,"male",854,1990,8,"1989-1993"
"6",534313,"Seinfeld","3","7","JERRY","Well then the turkey it'll be. And may I say you have a splendid establishment here, my friend. I'm sure you flourish at this location for many, many years.",0,"male",5343,1991,28,"1989-1993"
"7",363717,"Seinfeld","2","12","KRAMER","It's been a week. It's up to the cat now.",0,"male",3637,1991,9,"1989-1993"
"8",118320,"Frasier","1","6","Frasier","Oh, she brought it up?  Bethany van Pelt - the head of the Junior League - brought up the subject of a hooker whose body was hideously dismembered and scattered all over an abandoned warehouse.",0,"male",1183,1993,35,"1989-1993"
"9",142120,"Frasier","1","1","Daphne","Oh, wait a minute, I'm getting something on you... you're a florist!",1,"female",142,1993,11,"1989-1993"
"10",296316,"Seinfeld","2","9","JERRY","No, I can't do details.",0,"male",2963,1991,4,"1989-1993"
"11",76719,"Seinfeld","3","17","KRAMER","Why not? hey what about you George?",0,"male",7671,1992,6,"1989-1993"
"12",130165,"Seinfeld","4","15","ELAINE","Oh my god, I can't believe it! That is such a coincidence!",1,"female",13016,1993,11,"1989-1993"
"13",116595,"Seinfeld","4","9","ELAINE","Oh, like any man would ever look at me, come on, I'm gonna... get out of here.",1,"female",11659,1992,16,"1989-1993"
"14",121295,"Seinfeld","4","11","GEORGE","You don't think I can?",0,"male",12129,1992,4,"1989-1993"
"15",161035,"Seinfeld","5","4","ELAINE","She did? Oh, that's so great!",1,"female",16103,1993,5,"1989-1993"
"16",122575,"Seinfeld","4","11","KRAMER","Thank you, thank you, thank you.",0,"male",12257,1992,5,"1989-1993"
"17",161535,"Seinfeld","5","4","KRAMER","I feel Tuesday and Wednesday...",0,"male",16153,1993,4,"1989-1993"
"18",175385,"Seinfeld","5","10","ELAINE","I, I don't think so.",1,"female",17538,1993,4,"1989-1993"
"19",116545,"Seinfeld","4","9","ELAINE","Oh, no, he couldn't get them. We're not going.",1,"female",11654,1992,8,"1989-1993"
"20",152618,"Seinfeld","2","2","HELEN","I don't have a dress to wear. And you. You don't have anything.",1,"female",1526,1991,12,"1989-1993"
"21",176945,"Seinfeld","5","10","ELAINE","Well I... manuscript that I...",1,"female",17694,1993,4,"1989-1993"
"22",147165,"Seinfeld","4","22","ELAINE","Oh, Okay... well thanks a lot... sorry again about you and the Drake...",1,"female",14716,1993,12,"1989-1993"
"23",135995,"Seinfeld","4","18","ELAINE","I signed up to do volunteer work with senior citizens.",1,"female",13599,1993,9,"1989-1993"
"24",264017,"Seinfeld","2","7","ELAINE","Yeah. It is kind of cool.",1,"female",2640,1991,5,"1989-1993"
"25",111655,"Seinfeld","4","7","ELAINE","Hey, what's with George and Susan? Does he actually like her?",1,"female",11165,1992,10,"1989-1993"
"26",93855,"Seinfeld","3","23","JERRY","I heard something. Elaine, Elaine! It's Kramer! Kramer's on `Murphy Brown`!",0,"male",9385,1992,10,"1989-1993"
"27",143155,"Seinfeld","4","21","ELAINE","[delightedly] Oh! You `pillage and plunder`?",1,"female",14315,1993,5,"1989-1993"
"28",302916,"Seinfeld","2","9","ELAINE","Uh, Tina? Could you excuse us for just one second?",1,"female",3029,1991,9,"1989-1993"
"29",136818,"Seinfeld","2","1","JERRY","Gee, I just didn't expect it from the way you've been acting.",0,"male",1368,1991,11,"1989-1993"
"30",68155,"Seinfeld","3","13","GEORGE","That guy is not blind.",0,"male",6815,1992,4,"1989-1993"
"31",74404,"Seinfeld","3","16","ELAINE","Well, wait a minute, we're gonna tell each other everything, I mean every secret?",1,"female",7440,1992,13,"1989-1993"
"32",408717,"Seinfeld","3","2","ELAINE","There are plenty of things to say.",1,"female",4087,1991,6,"1989-1993"
"33",157685,"Seinfeld","5","3","ELAINE","Hi there, little doggy. Do you mind if I pet your dog?",1,"female",15768,1993,11,"1989-1993"
"34",354108,"Frasier","1","2","Martin","So what do you want to talk about?",0,"male",354,1993,7,"1989-1993"
"35",386317,"Seinfeld","3","1","GEORGE","He didn't say he can't.",0,"male",3863,1991,4,"1989-1993"
"36",148418,"Seinfeld","4","23","JERRY","Get out of here, it's nothing.",0,"male",14841,1993,5,"1989-1993"
"37",79918,"Seinfeld","1","4","JERRY","As a guy I don't know how I can break up with another guy. You know what I mean? I don't know how to say, Bill, I feel I need to see other men. Do you know what I mean? There's nothing I can do. I have to wait for someone to die. I think that's the only way out of this relationship. It could be a long time. See, the great thing about guys is that we can become friends based on almost nothing. Just two guys will just become friends just because they're two guys. That's almost all we need to have in common. 'Cause sports sports and women is really all we talk about. If there was no sports and no women the only thing guys would ever say is, So, what's in the refrigerator?",0,"male",799,1990,137,"1989-1993"
"38",171045,"Seinfeld","5","8","ELAINE","Oh great, then you can go to the bachelor auction.",1,"female",17104,1993,9,"1989-1993"
"39",172095,"Seinfeld","5","9","ELAINE","Yeah. It's just a coincidence obviously.",1,"female",17209,1993,5,"1989-1993"
"40",155455,"Seinfeld","5","2","ELAINE","Yep.. yep. Um, he's promoting a benefit for Goodwill, you know, they, uh, they clothe the poor, and the homeless..",1,"female",15545,1993,19,"1989-1993"
"41",107055,"Seinfeld","4","5","ELAINE","... Years. Many years, um, we've been close friends and then recently something just you know *ehghh* happened.",1,"female",10705,1992,17,"1989-1993"
"42",71745,"Seinfeld","3","15","JERRY","Alright, come on, let's get out of here.",0,"male",7174,1992,7,"1989-1993"
"43",519515,"Seinfeld","3","6","GEORGE","So what do you want me to do?",0,"male",5195,1991,7,"1989-1993"
"44",283516,"Seinfeld","2","8","KRAMER","Go ahead, drink it, George.",0,"male",2835,1991,4,"1989-1993"
"45",149055,"Seinfeld","4","23","ELAINE","Do you think it's a coincidence?",1,"female",14905,1993,5,"1989-1993"
"46",387017,"Seinfeld","3","1","JERRY","Roy, should we go? Is this a breach of our friendship?",0,"male",3870,1991,10,"1989-1993"
"47",122645,"Seinfeld","4","11","JERRY","But are you still master of your domain?",0,"male",12264,1992,7,"1989-1993"
